,Itemset Number,Itemset,Support
578,3,"('CPU', 'Network Card', 'UPS')",16
579,3,"('CPU', 'Network Card', 'USB Hub')",15
580,3,"('CPU', 'Network Card', 'Webcam')",12
581,3,"('CPU', 'Optical Drive', 'Power Supply')",18
582,3,"('CPU', 'Optical Drive', 'RAM')",18
583,3,"('CPU', 'Optical Drive', 'RGB Lighting')",19
584,3,"('CPU', 'Optical Drive', 'SSD')",23
585,3,"('CPU', 'Optical Drive', 'Sound Card')",26
586,3,"('CPU', 'Optical Drive', 'Speakers')",17
587,3,"('CPU', 'Optical Drive', 'Surge Protector')",16
588,3,"('CPU', 'Optical Drive', 'Thermal Paste')",13
589,3,"('CPU', 'Optical Drive', 'UPS')",18
590,3,"('CPU', 'Optical Drive', 'USB Hub')",15
591,3,"('CPU', 'Optical Drive', 'Webcam')",16
592,3,"('CPU', 'Power Supply', 'RAM')",13
593,3,"('CPU', 'Power Supply', 'RGB Lighting')",24
594,3,"('CPU', 'Power Supply', 'SSD')",13
595,3,"('CPU', 'Power Supply', 'Sound Card')",20
596,3,"('CPU', 'Power Supply', 'Speakers')",17
597,3,"('CPU', 'Power Supply', 'Surge Protector')",19
598,3,"('CPU', 'Power Supply', 'Thermal Paste')",15
599,3,"('CPU', 'Power Supply', 'UPS')",16
600,3,"('CPU', 'Power Supply', 'USB Hub')",18
601,3,"('CPU', 'Power Supply', 'Webcam')",12
602,3,"('CPU', 'RAM', 'RGB Lighting')",14
603,3,"('CPU', 'RAM', 'SSD')",16
604,3,"('CPU', 'RAM', 'Sound Card')",19
605,3,"('CPU', 'RAM', 'Speakers')",15
606,3,"('CPU', 'RAM', 'Surge Protector')",18
607,3,"('CPU', 'RAM', 'UPS')",12
608,3,"('CPU', 'RAM', 'USB Hub')",18
609,3,"('CPU', 'RAM', 'Webcam')",12
610,3,"('CPU', 'RGB Lighting', 'SSD')",18
611,3,"('CPU', 'RGB Lighting', 'Sound Card')",26
612,3,"('CPU', 'RGB Lighting', 'Speakers')",18
613,3,"('CPU', 'RGB Lighting', 'Surge Protector')",19
614,3,"('CPU', 'RGB Lighting', 'Thermal Paste')",14
615,3,"('CPU', 'RGB Lighting', 'UPS')",20
616,3,"('CPU', 'RGB Lighting', 'USB Hub')",22
617,3,"('CPU', 'RGB Lighting', 'Webcam')",17
618,3,"('CPU', 'SSD', 'Sound Card')",16
619,3,"('CPU', 'SSD', 'Speakers')",18
620,3,"('CPU', 'SSD', 'Surge Protector')",16
621,3,"('CPU', 'SSD', 'Thermal Paste')",10
622,3,"('CPU', 'SSD', 'UPS')",13
623,3,"('CPU', 'SSD', 'USB Hub')",22
624,3,"('CPU', 'SSD', 'Webcam')",12
625,3,"('CPU', 'Sound Card', 'Speakers')",19
626,3,"('CPU', 'Sound Card', 'Surge Protector')",18
627,3,"('CPU', 'Sound Card', 'Thermal Paste')",21
628,3,"('CPU', 'Sound Card', 'UPS')",23
629,3,"('CPU', 'Sound Card', 'USB Hub')",15
630,3,"('CPU', 'Sound Card', 'Webcam')",20
631,3,"('CPU', 'Speakers', 'Surge Protector')",19
632,3,"('CPU', 'Speakers', 'Thermal Paste')",15
633,3,"('CPU', 'Speakers', 'UPS')",16
634,3,"('CPU', 'Speakers', 'USB Hub')",19
635,3,"('CPU', 'Speakers', 'Webcam')",16
636,3,"('CPU', 'Surge Protector', 'Thermal Paste')",11
637,3,"('CPU', 'Surge Protector', 'UPS')",18
638,3,"('CPU', 'Surge Protector', 'USB Hub')",21
639,3,"('CPU', 'Surge Protector', 'Webcam')",15
640,3,"('CPU', 'Thermal Paste', 'UPS')",12
641,3,"('CPU', 'Thermal Paste', 'USB Hub')",11
642,3,"('CPU', 'UPS', 'USB Hub')",16
643,3,"('CPU', 'UPS', 'Webcam')",13
644,3,"('CPU', 'USB Hub', 'Webcam')",12
645,3,"('CPU Cooler', 'Case', 'Cooling Fan')",16
646,3,"('CPU Cooler', 'Case', 'External HDD')",19
647,3,"('CPU Cooler', 'Case', 'GPU')",15
648,3,"('CPU Cooler', 'Case', 'Graphics Tablet')",16
649,3,"('CPU Cooler', 'Case', 'HDD')",19
650,3,"('CPU Cooler', 'Case', 'Headset')",15
651,3,"('CPU Cooler', 'Case', 'Keyboard')",10
652,3,"('CPU Cooler', 'Case', 'Monitor')",11
653,3,"('CPU Cooler', 'Case', 'Mouse')",19
654,3,"('CPU Cooler', 'Case', 'Network Card')",15
655,3,"('CPU Cooler', 'Case', 'Optical Drive')",14
656,3,"('CPU Cooler', 'Case', 'Power Supply')",12
657,3,"('CPU Cooler', 'Case', 'RAM')",15
658,3,"('CPU Cooler', 'Case', 'RGB Lighting')",15
659,3,"('CPU Cooler', 'Case', 'SSD')",19
660,3,"('CPU Cooler', 'Case', 'Sound Card')",16
661,3,"('CPU Cooler', 'Case', 'Speakers')",16
662,3,"('CPU Cooler', 'Case', 'Surge Protector')",16
663,3,"('CPU Cooler', 'Case', 'Thermal Paste')",18
664,3,"('CPU Cooler', 'Case', 'UPS')",16
665,3,"('CPU Cooler', 'Case', 'USB Hub')",16
666,3,"('CPU Cooler', 'Case', 'Webcam')",15
667,3,"('CPU Cooler', 'Cooling Fan', 'External HDD')",22
668,3,"('CPU Cooler', 'Cooling Fan', 'GPU')",11
669,3,"('CPU Cooler', 'Cooling Fan', 'Graphics Tablet')",16
670,3,"('CPU Cooler', 'Cooling Fan', 'HDD')",19
671,3,"('CPU Cooler', 'Cooling Fan', 'Headset')",17
672,3,"('CPU Cooler', 'Cooling Fan', 'Keyboard')",10
673,3,"('CPU Cooler', 'Cooling Fan', 'Monitor')",19
674,3,"('CPU Cooler', 'Cooling Fan', 'Motherboard')",14
675,3,"('CPU Cooler', 'Cooling Fan', 'Mouse')",15
676,3,"('CPU Cooler', 'Cooling Fan', 'Network Card')",14
677,3,"('CPU Cooler', 'Cooling Fan', 'Optical Drive')",21
678,3,"('CPU Cooler', 'Cooling Fan', 'Power Supply')",11
679,3,"('CPU Cooler', 'Cooling Fan', 'RAM')",18
680,3,"('CPU Cooler', 'Cooling Fan', 'RGB Lighting')",15
681,3,"('CPU Cooler', 'Cooling Fan', 'SSD')",14
682,3,"('CPU Cooler', 'Cooling Fan', 'Sound Card')",14
683,3,"('CPU Cooler', 'Cooling Fan', 'Speakers')",12
684,3,"('CPU Cooler', 'Cooling Fan', 'Surge Protector')",22
685,3,"('CPU Cooler', 'Cooling Fan', 'Thermal Paste')",11
686,3,"('CPU Cooler', 'Cooling Fan', 'UPS')",10
687,3,"('CPU Cooler', 'Cooling Fan', 'USB Hub')",19
688,3,"('CPU Cooler', 'Cooling Fan', 'Webcam')",15
689,3,"('CPU Cooler', 'External HDD', 'GPU')",17
690,3,"('CPU Cooler', 'External HDD', 'HDD')",18
691,3,"('CPU Cooler', 'External HDD', 'Headset')",22
692,3,"('CPU Cooler', 'External HDD', 'Keyboard')",17
693,3,"('CPU Cooler', 'External HDD', 'Monitor')",13
694,3,"('CPU Cooler', 'External HDD', 'Motherboard')",19
695,3,"('CPU Cooler', 'External HDD', 'Mouse')",17
696,3,"('CPU Cooler', 'External HDD', 'Network Card')",14
697,3,"('CPU Cooler', 'External HDD', 'Optical Drive')",17
698,3,"('CPU Cooler', 'External HDD', 'Power Supply')",15
699,3,"('CPU Cooler', 'External HDD', 'RAM')",18
700,3,"('CPU Cooler', 'External HDD', 'RGB Lighting')",19
701,3,"('CPU Cooler', 'External HDD', 'SSD')",19
702,3,"('CPU Cooler', 'External HDD', 'Sound Card')",15
703,3,"('CPU Cooler', 'External HDD', 'Speakers')",18
704,3,"('CPU Cooler', 'External HDD', 'Surge Protector')",14
705,3,"('CPU Cooler', 'External HDD', 'Thermal Paste')",16
706,3,"('CPU Cooler', 'External HDD', 'UPS')",15
707,3,"('CPU Cooler', 'External HDD', 'USB Hub')",16
708,3,"('CPU Cooler', 'GPU', 'Graphics Tablet')",11
709,3,"('CPU Cooler', 'GPU', 'HDD')",10
710,3,"('CPU Cooler', 'GPU', 'Headset')",12
711,3,"('CPU Cooler', 'GPU', 'Keyboard')",16
712,3,"('CPU Cooler', 'GPU', 'Monitor')",18
713,3,"('CPU Cooler', 'GPU', 'Motherboard')",20
714,3,"('CPU Cooler', 'GPU', 'Mouse')",17
715,3,"('CPU Cooler', 'GPU', 'Network Card')",10
716,3,"('CPU Cooler', 'GPU', 'Optical Drive')",13
717,3,"('CPU Cooler', 'GPU', 'Power Supply')",10
718,3,"('CPU Cooler', 'GPU', 'RAM')",20
719,3,"('CPU Cooler', 'GPU', 'RGB Lighting')",11
720,3,"('CPU Cooler', 'GPU', 'SSD')",15
721,3,"('CPU Cooler', 'GPU', 'Sound Card')",20
722,3,"('CPU Cooler', 'GPU', 'Speakers')",16
723,3,"('CPU Cooler', 'GPU', 'Surge Protector')",15
724,3,"('CPU Cooler', 'GPU', 'Thermal Paste')",10
725,3,"('CPU Cooler', 'GPU', 'UPS')",11
726,3,"('CPU Cooler', 'GPU', 'USB Hub')",19
727,3,"('CPU Cooler', 'GPU', 'Webcam')",17
728,3,"('CPU Cooler', 'Graphics Tablet', 'HDD')",13
729,3,"('CPU Cooler', 'Graphics Tablet', 'Headset')",10
730,3,"('CPU Cooler', 'Graphics Tablet', 'Keyboard')",12
731,3,"('CPU Cooler', 'Graphics Tablet', 'Motherboard')",12
732,3,"('CPU Cooler', 'Graphics Tablet', 'Mouse')",15
733,3,"('CPU Cooler', 'Graphics Tablet', 'Network Card')",13
734,3,"('CPU Cooler', 'Graphics Tablet', 'Optical Drive')",14
735,3,"('CPU Cooler', 'Graphics Tablet', 'Power Supply')",14
736,3,"('CPU Cooler', 'Graphics Tablet', 'RAM')",14
737,3,"('CPU Cooler', 'Graphics Tablet', 'RGB Lighting')",10
738,3,"('CPU Cooler', 'Graphics Tablet', 'SSD')",15
739,3,"('CPU Cooler', 'Graphics Tablet', 'Sound Card')",15
740,3,"('CPU Cooler', 'Graphics Tablet', 'Speakers')",10
741,3,"('CPU Cooler', 'Graphics Tablet', 'Surge Protector')",13
742,3,"('CPU Cooler', 'Graphics Tablet', 'Thermal Paste')",13
743,3,"('CPU Cooler', 'Graphics Tablet', 'USB Hub')",12
744,3,"('CPU Cooler', 'Graphics Tablet', 'Webcam')",14
745,3,"('CPU Cooler', 'HDD', 'Headset')",15
746,3,"('CPU Cooler', 'HDD', 'Monitor')",13
747,3,"('CPU Cooler', 'HDD', 'Motherboard')",14
748,3,"('CPU Cooler', 'HDD', 'Mouse')",15
749,3,"('CPU Cooler', 'HDD', 'Network Card')",12
750,3,"('CPU Cooler', 'HDD', 'Optical Drive')",17
751,3,"('CPU Cooler', 'HDD', 'RAM')",12
752,3,"('CPU Cooler', 'HDD', 'RGB Lighting')",15
753,3,"('CPU Cooler', 'HDD', 'SSD')",15
754,3,"('CPU Cooler', 'HDD', 'Sound Card')",19
755,3,"('CPU Cooler', 'HDD', 'Speakers')",12
756,3,"('CPU Cooler', 'HDD', 'Surge Protector')",10
757,3,"('CPU Cooler', 'HDD', 'Thermal Paste')",16
758,3,"('CPU Cooler', 'HDD', 'UPS')",14
759,3,"('CPU Cooler', 'HDD', 'USB Hub')",15
760,3,"('CPU Cooler', 'HDD', 'Webcam')",13
761,3,"('CPU Cooler', 'Headset', 'Keyboard')",18
762,3,"('CPU Cooler', 'Headset', 'Motherboard')",20
763,3,"('CPU Cooler', 'Headset', 'Mouse')",19
764,3,"('CPU Cooler', 'Headset', 'Network Card')",15
765,3,"('CPU Cooler', 'Headset', 'Optical Drive')",16
766,3,"('CPU Cooler', 'Headset', 'Power Supply')",11
767,3,"('CPU Cooler', 'Headset', 'RAM')",19
768,3,"('CPU Cooler', 'Headset', 'RGB Lighting')",12
769,3,"('CPU Cooler', 'Headset', 'SSD')",18
770,3,"('CPU Cooler', 'Headset', 'Sound Card')",12
771,3,"('CPU Cooler', 'Headset', 'Speakers')",18
772,3,"('CPU Cooler', 'Headset', 'Surge Protector')",15
773,3,"('CPU Cooler', 'Headset', 'Thermal Paste')",15
774,3,"('CPU Cooler', 'Headset', 'UPS')",12
775,3,"('CPU Cooler', 'Headset', 'USB Hub')",15
776,3,"('CPU Cooler', 'Keyboard', 'Monitor')",12
777,3,"('CPU Cooler', 'Keyboard', 'Motherboard')",13
778,3,"('CPU Cooler', 'Keyboard', 'Mouse')",16
779,3,"('CPU Cooler', 'Keyboard', 'Network Card')",13
780,3,"('CPU Cooler', 'Keyboard', 'Optical Drive')",16
781,3,"('CPU Cooler', 'Keyboard', 'Power Supply')",11
782,3,"('CPU Cooler', 'Keyboard', 'RAM')",17
783,3,"('CPU Cooler', 'Keyboard', 'RGB Lighting')",15
784,3,"('CPU Cooler', 'Keyboard', 'SSD')",16
785,3,"('CPU Cooler', 'Keyboard', 'Sound Card')",22
786,3,"('CPU Cooler', 'Keyboard', 'Speakers')",15
787,3,"('CPU Cooler', 'Keyboard', 'Surge Protector')",12
788,3,"('CPU Cooler', 'Keyboard', 'Thermal Paste')",15
789,3,"('CPU Cooler', 'Keyboard', 'UPS')",10
790,3,"('CPU Cooler', 'Keyboard', 'USB Hub')",13
791,3,"('CPU Cooler', 'Keyboard', 'Webcam')",10
792,3,"('CPU Cooler', 'Monitor', 'Motherboard')",17
793,3,"('CPU Cooler', 'Monitor', 'Mouse')",18
794,3,"('CPU Cooler', 'Monitor', 'Network Card')",12
795,3,"('CPU Cooler', 'Monitor', 'Optical Drive')",10
796,3,"('CPU Cooler', 'Monitor', 'Power Supply')",13
797,3,"('CPU Cooler', 'Monitor', 'RAM')",15
798,3,"('CPU Cooler', 'Monitor', 'RGB Lighting')",13
799,3,"('CPU Cooler', 'Monitor', 'SSD')",20
800,3,"('CPU Cooler', 'Monitor', 'Sound Card')",21
801,3,"('CPU Cooler', 'Monitor', 'Speakers')",16
802,3,"('CPU Cooler', 'Monitor', 'Surge Protector')",16
803,3,"('CPU Cooler', 'Monitor', 'Thermal Paste')",15
804,3,"('CPU Cooler', 'Monitor', 'UPS')",16
805,3,"('CPU Cooler', 'Monitor', 'USB Hub')",15
806,3,"('CPU Cooler', 'Monitor', 'Webcam')",11
807,3,"('CPU Cooler', 'Motherboard', 'Mouse')",22
808,3,"('CPU Cooler', 'Motherboard', 'Network Card')",14
809,3,"('CPU Cooler', 'Motherboard', 'Optical Drive')",19
810,3,"('CPU Cooler', 'Motherboard', 'Power Supply')",13
811,3,"('CPU Cooler', 'Motherboard', 'RAM')",19
812,3,"('CPU Cooler', 'Motherboard', 'RGB Lighting')",15
813,3,"('CPU Cooler', 'Motherboard', 'SSD')",16
814,3,"('CPU Cooler', 'Motherboard', 'Sound Card')",16
815,3,"('CPU Cooler', 'Motherboard', 'Speakers')",14
816,3,"('CPU Cooler', 'Motherboard', 'Surge Protector')",14
817,3,"('CPU Cooler', 'Motherboard', 'Thermal Paste')",17
818,3,"('CPU Cooler', 'Motherboard', 'UPS')",17
819,3,"('CPU Cooler', 'Motherboard', 'USB Hub')",16
820,3,"('CPU Cooler', 'Motherboard', 'Webcam')",12
821,3,"('CPU Cooler', 'Mouse', 'Network Card')",19
822,3,"('CPU Cooler', 'Mouse', 'Optical Drive')",12
823,3,"('CPU Cooler', 'Mouse', 'Power Supply')",15
824,3,"('CPU Cooler', 'Mouse', 'RAM')",16
825,3,"('CPU Cooler', 'Mouse', 'RGB Lighting')",21
826,3,"('CPU Cooler', 'Mouse', 'SSD')",24
827,3,"('CPU Cooler', 'Mouse', 'Sound Card')",16
828,3,"('CPU Cooler', 'Mouse', 'Speakers')",20
829,3,"('CPU Cooler', 'Mouse', 'Surge Protector')",21
830,3,"('CPU Cooler', 'Mouse', 'Thermal Paste')",19
831,3,"('CPU Cooler', 'Mouse', 'UPS')",13
832,3,"('CPU Cooler', 'Mouse', 'USB Hub')",24
833,3,"('CPU Cooler', 'Mouse', 'Webcam')",16
834,3,"('CPU Cooler', 'Network Card', 'Optical Drive')",13
835,3,"('CPU Cooler', 'Network Card', 'Power Supply')",13
836,3,"('CPU Cooler', 'Network Card', 'RAM')",20
837,3,"('CPU Cooler', 'Network Card', 'RGB Lighting')",16
838,3,"('CPU Cooler', 'Network Card', 'SSD')",14
839,3,"('CPU Cooler', 'Network Card', 'Sound Card')",21
840,3,"('CPU Cooler', 'Network Card', 'Speakers')",14
841,3,"('CPU Cooler', 'Network Card', 'Surge Protector')",17
842,3,"('CPU Cooler', 'Network Card', 'Thermal Paste')",12
843,3,"('CPU Cooler', 'Network Card', 'UPS')",18
844,3,"('CPU Cooler', 'Network Card', 'USB Hub')",11
845,3,"('CPU Cooler', 'Network Card', 'Webcam')",15
846,3,"('CPU Cooler', 'Optical Drive', 'Power Supply')",11
847,3,"('CPU Cooler', 'Optical Drive', 'RAM')",17
848,3,"('CPU Cooler', 'Optical Drive', 'RGB Lighting')",13
849,3,"('CPU Cooler', 'Optical Drive', 'SSD')",13
850,3,"('CPU Cooler', 'Optical Drive', 'Sound Card')",17
851,3,"('CPU Cooler', 'Optical Drive', 'Speakers')",14
852,3,"('CPU Cooler', 'Optical Drive', 'Surge Protector')",17
853,3,"('CPU Cooler', 'Optical Drive', 'Thermal Paste')",17
854,3,"('CPU Cooler', 'Optical Drive', 'UPS')",13
855,3,"('CPU Cooler', 'Optical Drive', 'USB Hub')",16
856,3,"('CPU Cooler', 'Optical Drive', 'Webcam')",17
857,3,"('CPU Cooler', 'Power Supply', 'RAM')",11
858,3,"('CPU Cooler', 'Power Supply', 'RGB Lighting')",12
859,3,"('CPU Cooler', 'Power Supply', 'SSD')",11
860,3,"('CPU Cooler', 'Power Supply', 'Sound Card')",14
861,3,"('CPU Cooler', 'Power Supply', 'Speakers')",10
862,3,"('CPU Cooler', 'Power Supply', 'Surge Protector')",14
863,3,"('CPU Cooler', 'Power Supply', 'Thermal Paste')",14
864,3,"('CPU Cooler', 'Power Supply', 'UPS')",16
865,3,"('CPU Cooler', 'Power Supply', 'USB Hub')",18
866,3,"('CPU Cooler', 'Power Supply', 'Webcam')",11
867,3,"('CPU Cooler', 'RAM', 'RGB Lighting')",17
868,3,"('CPU Cooler', 'RAM', 'SSD')",21
869,3,"('CPU Cooler', 'RAM', 'Sound Card')",15
870,3,"('CPU Cooler', 'RAM', 'Speakers')",16
871,3,"('CPU Cooler', 'RAM', 'Surge Protector')",15
872,3,"('CPU Cooler', 'RAM', 'Thermal Paste')",15
873,3,"('CPU Cooler', 'RAM', 'UPS')",19
874,3,"('CPU Cooler', 'RAM', 'USB Hub')",17
875,3,"('CPU Cooler', 'RAM', 'Webcam')",12
876,3,"('CPU Cooler', 'RGB Lighting', 'SSD')",12
877,3,"('CPU Cooler', 'RGB Lighting', 'Sound Card')",12
878,3,"('CPU Cooler', 'RGB Lighting', 'Speakers')",14
879,3,"('CPU Cooler', 'RGB Lighting', 'Surge Protector')",13
880,3,"('CPU Cooler', 'RGB Lighting', 'Thermal Paste')",12
881,3,"('CPU Cooler', 'RGB Lighting', 'UPS')",14
882,3,"('CPU Cooler', 'RGB Lighting', 'USB Hub')",15
883,3,"('CPU Cooler', 'RGB Lighting', 'Webcam')",12
884,3,"('CPU Cooler', 'SSD', 'Sound Card')",18
885,3,"('CPU Cooler', 'SSD', 'Speakers')",14
886,3,"('CPU Cooler', 'SSD', 'Surge Protector')",22
887,3,"('CPU Cooler', 'SSD', 'Thermal Paste')",17
888,3,"('CPU Cooler', 'SSD', 'UPS')",17
889,3,"('CPU Cooler', 'SSD', 'USB Hub')",22
890,3,"('CPU Cooler', 'SSD', 'Webcam')",13
891,3,"('CPU Cooler', 'Sound Card', 'Speakers')",20
892,3,"('CPU Cooler', 'Sound Card', 'Surge Protector')",12
893,3,"('CPU Cooler', 'Sound Card', 'Thermal Paste')",20
894,3,"('CPU Cooler', 'Sound Card', 'UPS')",14
895,3,"('CPU Cooler', 'Sound Card', 'USB Hub')",17
896,3,"('CPU Cooler', 'Sound Card', 'Webcam')",16
897,3,"('CPU Cooler', 'Speakers', 'Surge Protector')",11
898,3,"('CPU Cooler', 'Speakers', 'Thermal Paste')",19
899,3,"('CPU Cooler', 'Speakers', 'UPS')",15
900,3,"('CPU Cooler', 'Speakers', 'USB Hub')",19
901,3,"('CPU Cooler', 'Speakers', 'Webcam')",13
902,3,"('CPU Cooler', 'Surge Protector', 'Thermal Paste')",18
903,3,"('CPU Cooler', 'Surge Protector', 'UPS')",16
904,3,"('CPU Cooler', 'Surge Protector', 'USB Hub')",19
905,3,"('CPU Cooler', 'Surge Protector', 'Webcam')",22
906,3,"('CPU Cooler', 'Thermal Paste', 'UPS')",15
907,3,"('CPU Cooler', 'Thermal Paste', 'USB Hub')",17
908,3,"('CPU Cooler', 'Thermal Paste', 'Webcam')",13
909,3,"('CPU Cooler', 'UPS', 'USB Hub')",13
910,3,"('CPU Cooler', 'UPS', 'Webcam')",10
911,3,"('CPU Cooler', 'USB Hub', 'Webcam')",16
912,3,"('Case', 'Cooling Fan', 'External HDD')",16
913,3,"('Case', 'Cooling Fan', 'Graphics Tablet')",15
914,3,"('Case', 'Cooling Fan', 'HDD')",20
915,3,"('Case', 'Cooling Fan', 'Headset')",15
916,3,"('Case', 'Cooling Fan', 'Monitor')",22
917,3,"('Case', 'Cooling Fan', 'Motherboard')",14
918,3,"('Case', 'Cooling Fan', 'Mouse')",23
919,3,"('Case', 'Cooling Fan', 'Network Card')",21
920,3,"('Case', 'Cooling Fan', 'Optical Drive')",15
921,3,"('Case', 'Cooling Fan', 'Power Supply')",12
922,3,"('Case', 'Cooling Fan', 'RAM')",16
923,3,"('Case', 'Cooling Fan', 'RGB Lighting')",17
924,3,"('Case', 'Cooling Fan', 'SSD')",20
925,3,"('Case', 'Cooling Fan', 'Sound Card')",20
926,3,"('Case', 'Cooling Fan', 'Speakers')",14
927,3,"('Case', 'Cooling Fan', 'Surge Protector')",18
928,3,"('Case', 'Cooling Fan', 'Thermal Paste')",18
929,3,"('Case', 'Cooling Fan', 'UPS')",13
930,3,"('Case', 'Cooling Fan', 'USB Hub')",16
931,3,"('Case', 'Cooling Fan', 'Webcam')",16
932,3,"('Case', 'External HDD', 'GPU')",12
933,3,"('Case', 'External HDD', 'Graphics Tablet')",10
934,3,"('Case', 'External HDD', 'HDD')",18
935,3,"('Case', 'External HDD', 'Headset')",16
936,3,"('Case', 'External HDD', 'Monitor')",14
937,3,"('Case', 'External HDD', 'Motherboard')",15
938,3,"('Case', 'External HDD', 'Mouse')",19
939,3,"('Case', 'External HDD', 'Network Card')",12
940,3,"('Case', 'External HDD', 'Optical Drive')",12
941,3,"('Case', 'External HDD', 'Power Supply')",17
942,3,"('Case', 'External HDD', 'RAM')",15
943,3,"('Case', 'External HDD', 'RGB Lighting')",11
944,3,"('Case', 'External HDD', 'SSD')",13
945,3,"('Case', 'External HDD', 'Speakers')",15
946,3,"('Case', 'External HDD', 'Surge Protector')",19
947,3,"('Case', 'External HDD', 'Thermal Paste')",18
948,3,"('Case', 'External HDD', 'UPS')",20
949,3,"('Case', 'External HDD', 'USB Hub')",15
950,3,"('Case', 'External HDD', 'Webcam')",11
951,3,"('Case', 'GPU', 'Graphics Tablet')",11
952,3,"('Case', 'GPU', 'HDD')",13
953,3,"('Case', 'GPU', 'Headset')",11
954,3,"('Case', 'GPU', 'Monitor')",13
955,3,"('Case', 'GPU', 'Motherboard')",11
956,3,"('Case', 'GPU', 'Mouse')",21
957,3,"('Case', 'GPU', 'Network Card')",14
958,3,"('Case', 'GPU', 'Optical Drive')",10
959,3,"('Case', 'GPU', 'Power Supply')",16
960,3,"('Case', 'GPU', 'SSD')",11
961,3,"('Case', 'GPU', 'Sound Card')",20
962,3,"('Case', 'GPU', 'Speakers')",15
963,3,"('Case', 'GPU', 'Surge Protector')",13
964,3,"('Case', 'GPU', 'Thermal Paste')",13
965,3,"('Case', 'GPU', 'UPS')",17
966,3,"('Case', 'GPU', 'USB Hub')",17
967,3,"('Case', 'GPU', 'Webcam')",14
968,3,"('Case', 'Graphics Tablet', 'HDD')",14
969,3,"('Case', 'Graphics Tablet', 'Keyboard')",10
970,3,"('Case', 'Graphics Tablet', 'Monitor')",14
971,3,"('Case', 'Graphics Tablet', 'Motherboard')",15
972,3,"('Case', 'Graphics Tablet', 'Mouse')",17
973,3,"('Case', 'Graphics Tablet', 'Network Card')",13
974,3,"('Case', 'Graphics Tablet', 'Optical Drive')",14
975,3,"('Case', 'Graphics Tablet', 'Power Supply')",13
976,3,"('Case', 'Graphics Tablet', 'RAM')",17
977,3,"('Case', 'Graphics Tablet', 'RGB Lighting')",19
978,3,"('Case', 'Graphics Tablet', 'SSD')",22
979,3,"('Case', 'Graphics Tablet', 'Sound Card')",13
980,3,"('Case', 'Graphics Tablet', 'Surge Protector')",16
981,3,"('Case', 'Graphics Tablet', 'Thermal Paste')",20
982,3,"('Case', 'Graphics Tablet', 'UPS')",13
983,3,"('Case', 'Graphics Tablet', 'USB Hub')",13
984,3,"('Case', 'Graphics Tablet', 'Webcam')",17
985,3,"('Case', 'HDD', 'Headset')",14
986,3,"('Case', 'HDD', 'Keyboard')",12
987,3,"('Case', 'HDD', 'Monitor')",14
988,3,"('Case', 'HDD', 'Motherboard')",11
989,3,"('Case', 'HDD', 'Mouse')",16
990,3,"('Case', 'HDD', 'Network Card')",18
991,3,"('Case', 'HDD', 'Optical Drive')",17
992,3,"('Case', 'HDD', 'Power Supply')",15
993,3,"('Case', 'HDD', 'RAM')",20
994,3,"('Case', 'HDD', 'RGB Lighting')",17
995,3,"('Case', 'HDD', 'SSD')",19
996,3,"('Case', 'HDD', 'Sound Card')",12
997,3,"('Case', 'HDD', 'Speakers')",12
998,3,"('Case', 'HDD', 'Surge Protector')",26
999,3,"('Case', 'HDD', 'Thermal Paste')",19
1000,3,"('Case', 'HDD', 'UPS')",17
1001,3,"('Case', 'HDD', 'USB Hub')",17
1002,3,"('Case', 'HDD', 'Webcam')",18
1003,3,"('Case', 'Headset', 'Keyboard')",15
1004,3,"('Case', 'Headset', 'Monitor')",12
1005,3,"('Case', 'Headset', 'Motherboard')",12
1006,3,"('Case', 'Headset', 'Mouse')",10
1007,3,"('Case', 'Headset', 'Network Card')",14
1008,3,"('Case', 'Headset', 'Optical Drive')",12
1009,3,"('Case', 'Headset', 'Power Supply')",14
1010,3,"('Case', 'Headset', 'RAM')",11
1011,3,"('Case', 'Headset', 'RGB Lighting')",11
1012,3,"('Case', 'Headset', 'SSD')",12
1013,3,"('Case', 'Headset', 'Sound Card')",13
1014,3,"('Case', 'Headset', 'Speakers')",13
1015,3,"('Case', 'Headset', 'Surge Protector')",14
1016,3,"('Case', 'Headset', 'Thermal Paste')",18
1017,3,"('Case', 'Headset', 'UPS')",21
1018,3,"('Case', 'Headset', 'USB Hub')",13
1019,3,"('Case', 'Headset', 'Webcam')",12
1020,3,"('Case', 'Keyboard', 'Monitor')",15
1021,3,"('Case', 'Keyboard', 'Motherboard')",11
1022,3,"('Case', 'Keyboard', 'Power Supply')",11
1023,3,"('Case', 'Keyboard', 'RAM')",12
1024,3,"('Case', 'Keyboard', 'RGB Lighting')",11
1025,3,"('Case', 'Keyboard', 'SSD')",14
1026,3,"('Case', 'Keyboard', 'Sound Card')",15
1027,3,"('Case', 'Keyboard', 'Speakers')",10
1028,3,"('Case', 'Keyboard', 'Surge Protector')",13
1029,3,"('Case', 'Keyboard', 'Thermal Paste')",16
1030,3,"('Case', 'Keyboard', 'UPS')",15
1031,3,"('Case', 'Keyboard', 'USB Hub')",12
1032,3,"('Case', 'Keyboard', 'Webcam')",12
1033,3,"('Case', 'Monitor', 'Motherboard')",15
1034,3,"('Case', 'Monitor', 'Mouse')",18
1035,3,"('Case', 'Monitor', 'Network Card')",13
1036,3,"('Case', 'Monitor', 'Optical Drive')",13
